timestamp,user,role,device_id,device_trust,country,lat,lon,resource,action,result,mfa,is_anomaly
2025-10-11 11:38:49,user009,employee,device019,trusted,IN,19.07,72.87,email,access,success,false,0
2025-10-10 15:16:51,user018,contractor,device079,trusted,IN,19.07,72.87,finance_app,logout,success,true,0
2025-10-11 00:46:54,user004,employee,device003,trusted,UK,51.5,-0.12,vpn,login,success,false,0
2025-10-10 23:20:12,user025,employee,device033,trusted,DE,52.52,13.4,email,logout,success,true,0
2025-10-10 21:16:30,user038,employee,device018,trusted,US,37.77,-122.41,finance_app,logout,failure,false,0
2025-10-11 10:42:22,user036,admin,device060,trusted,US,37.77,-122.41,finance_app,login,success,true,0
2025-10-11 01:37:30,user026,employee,device011,trusted,US,37.77,-122.41,vpn,access,success,true,0
2025-10-11 00:25:33,user007,contractor,device048,trusted,IN,19.07,72.87,email,access,success,true,0
2025-10-11 02:15:05,user039,admin,device078,trusted,DE,52.52,13.4,email,logout,success,false,0
2025-10-11 00:12:38,user044,admin,device087,trusted,DE,52.52,13.4,hr_portal,logout,success,false,0
2025-10-10 13:23:14,user043,contractor,device058,trusted,UK,51.5,-0.12,vpn,logout,success,true,0
2025-10-11 12:07:52,user017,employee,device062,trusted,SG,1.35,103.82,dev_repo,login,success,false,0
2025-10-11 10:14:17,user039,contractor,device074,trusted,DE,52.52,13.4,email,login,success,true,0
2025-10-11 07:58:18,user015,employee,device008,trusted,DE,52.52,13.4,finance_app,logout,success,true,0
2025-10-10 18:20:49,user036,employee,device037,trusted,IN,19.07,72.87,dev_repo,login,success,true,0
2025-10-11 10:05:03,user047,employee,device027,untrusted,SG,1.35,103.82,email,access,success,true,0
2025-10-11 01:49:14,user037,employee,device077,trusted,SG,1.35,103.82,vpn,logout,success,true,0
2025-10-11 03:32:05,user005,employee,device024,trusted,IN,19.07,72.87,finance_app,access,success,true,0
2025-10-11 07:33:42,user005,employee,device073,trusted,US,37.77,-122.41,vpn,logout,success,true,0
2025-10-11 11:41:18,user029,employee,device051,trusted,UK,51.5,-0.12,dev_repo,login,success,false,0
2025-10-10 21:34:34,user003,employee,device031,trusted,IN,19.07,72.87,dev_repo,access,success,true,0
2025-10-10 14:39:08,user004,employee,device071,trusted,DE,52.52,13.4,dev_repo,logout,success,true,0
2025-10-11 11:32:34,user038,employee,device004,trusted,IN,19.07,72.87,finance_app,access,success,true,0
2025-10-11 12:23:07,user013,employee,device058,trusted,UK,51.5,-0.12,vpn,login,success,false,0
2025-10-10 13:47:32,user050,employee,device097,trusted,DE,52.52,13.4,dev_repo,access,failure,true,0
2025-10-10 14:40:54,user032,employee,device034,trusted,IN,19.07,72.87,hr_portal,access,success,true,0
2025-10-10 20:43:58,user029,employee,device059,trusted,UK,51.5,-0.12,hr_portal,logout,success,true,0
2025-10-11 01:00:19,user046,employee,device049,trusted,UK,51.5,-0.12,hr_portal,login,success,true,0
2025-10-10 19:05:48,user045,employee,device094,trusted,UK,51.5,-0.12,email,access,success,false,0
2025-10-10 20:06:36,user013,contractor,device030,trusted,UK,51.5,-0.12,email,logout,success,true,0
2025-10-10 20:41:01,user021,employee,device030,trusted,DE,52.52,13.4,finance_app,access,success,true,0
2025-10-11 11:04:07,user016,employee,device033,trusted,US,37.77,-122.41,vpn,logout,failure,true,0
2025-10-11 02:58:23,user030,employee,device070,trusted,DE,52.52,13.4,email,access,success,true,0
2025-10-10 13:35:17,user012,contractor,device022,trusted,IN,19.07,72.87,email,logout,success,true,0
2025-10-10 13:38:39,user027,employee,device075,trusted,US,37.77,-122.41,email,login,success,true,0
2025-10-10 18:26:19,user022,admin,device031,trusted,UK,51.5,-0.12,email,logout,success,true,0
2025-10-10 15:00:45,user044,admin,device022,trusted,SG,1.35,103.82,dev_repo,logout,failure,true,0
2025-10-11 05:09:49,user013,employee,device033,trusted,IN,19.07,72.87,dev_repo,access,success,true,0
2025-10-11 05:20:32,user027,employee,device008,trusted,SG,1.35,103.82,hr_portal,login,success,true,0
2025-10-11 10:27:21,user036,employee,device029,trusted,DE,52.52,13.4,finance_app,login,success,true,0
2025-10-10 14:49:46,user045,employee,device076,trusted,US,37.77,-122.41,dev_repo,login,success,false,0
2025-10-11 03:20:53,user003,employee,device011,trusted,IN,19.07,72.87,email,access,success,true,0
2025-10-11 05:07:56,user005,admin,device086,untrusted,IN,19.07,72.87,vpn,access,success,true,0
2025-10-10 16:13:19,user041,contractor,device050,trusted,IN,19.07,72.87,hr_portal,logout,success,true,0
2025-10-11 12:05:09,user034,employee,device063,untrusted,SG,1.35,103.82,email,login,success,true,0
2025-10-11 01:05:28,user033,employee,device058,trusted,UK,51.5,-0.12,vpn,login,failure,true,0
2025-10-11 12:31:17,user010,employee,device067,trusted,SG,1.35,103.82,finance_app,logout,success,true,0
2025-10-11 01:59:55,user006,employee,device064,untrusted,SG,1.35,103.82,email,access,success,false,0
2025-10-10 16:29:35,user003,employee,device041,trusted,UK,51.5,-0.12,finance_app,access,success,true,0
2025-10-11 11:34:46,user003,employee,device016,trusted,IN,19.07,72.87,hr_portal,logout,success,true,0
2025-10-11 07:16:21,user011,contractor,device036,trusted,US,37.77,-122.41,vpn,login,success,true,0
2025-10-11 07:36:12,user050,employee,device010,trusted,US,37.77,-122.41,dev_repo,logout,success,true,0
2025-10-11 00:49:15,user036,employee,device046,trusted,SG,1.35,103.82,dev_repo,logout,success,true,0
2025-10-10 18:50:05,user045,contractor,device084,trusted,SG,1.35,103.82,email,logout,success,true,0
2025-10-10 19:36:23,user046,employee,device042,trusted,US,37.77,-122.41,dev_repo,logout,success,true,0
2025-10-11 08:38:46,user015,contractor,device013,trusted,IN,19.07,72.87,hr_portal,logout,success,true,0
2025-10-11 02:16:49,user005,contractor,device097,trusted,IN,19.07,72.87,hr_portal,access,success,true,0
2025-10-10 13:59:17,user043,employee,device008,trusted,SG,1.35,103.82,finance_app,logout,success,false,0
2025-10-10 23:34:34,user049,contractor,device022,trusted,DE,52.52,13.4,vpn,login,success,false,0
2025-10-11 00:34:07,user009,employee,device063,trusted,IN,19.07,72.87,finance_app,access,success,true,0
2025-10-11 02:00:03,user021,employee,device053,trusted,DE,52.52,13.4,dev_repo,logout,success,true,0
2025-10-11 03:46:30,user024,contractor,device021,trusted,US,37.77,-122.41,email,logout,success,true,0
2025-10-11 03:15:09,user013,employee,device034,trusted,IN,19.07,72.87,finance_app,logout,success,false,0
2025-10-11 05:57:22,user006,admin,device082,trusted,US,37.77,-122.41,email,logout,success,false,0
2025-10-11 12:12:06,user002,contractor,device023,trusted,DE,52.52,13.4,vpn,login,success,true,0
2025-10-10 14:35:35,user039,employee,device077,trusted,IN,19.07,72.87,finance_app,logout,success,true,0
2025-10-10 16:52:40,user037,contractor,device072,trusted,UK,51.5,-0.12,dev_repo,access,success,true,0
2025-10-11 01:57:01,user034,employee,device014,trusted,DE,52.52,13.4,vpn,access,success,false,0
2025-10-11 12:34:42,user014,contractor,device084,trusted,US,37.77,-122.41,hr_portal,access,success,true,0
2025-10-11 10:11:08,user049,employee,device021,trusted,DE,52.52,13.4,finance_app,logout,success,true,0
2025-10-10 14:59:28,user030,employee,device069,trusted,IN,19.07,72.87,hr_portal,login,success,false,0
2025-10-11 04:37:10,user008,employee,device016,untrusted,SG,1.35,103.82,hr_portal,logout,success,false,1
2025-10-10 17:46:53,user034,admin,device073,trusted,DE,52.52,13.4,finance_app,logout,success,true,0
2025-10-11 08:15:51,user030,employee,device018,untrusted,IN,19.07,72.87,hr_portal,logout,success,true,0
2025-10-11 04:36:28,user030,employee,device013,trusted,SG,1.35,103.82,hr_portal,access,success,true,0
2025-10-11 11:48:58,user038,employee,device009,trusted,DE,52.52,13.4,dev_repo,logout,success,true,0
2025-10-11 04:10:40,user014,employee,device079,trusted,SG,1.35,103.82,dev_repo,login,success,false,0
2025-10-11 10:00:28,user045,employee,device016,trusted,US,37.77,-122.41,vpn,logout,success,true,0
2025-10-10 17:21:20,user018,employee,device060,trusted,DE,52.52,13.4,vpn,logout,success,true,0
2025-10-11 10:44:02,user019,contractor,device008,trusted,UK,51.5,-0.12,vpn,access,success,false,0
2025-10-11 05:42:33,user017,contractor,device074,trusted,US,37.77,-122.41,email,logout,success,true,0
2025-10-11 11:28:27,user007,contractor,device013,trusted,DE,52.52,13.4,email,access,success,true,0
2025-10-10 23:39:43,user027,employee,device047,trusted,DE,52.52,13.4,email,login,success,true,0
2025-10-11 10:32:50,user003,contractor,device083,trusted,DE,52.52,13.4,finance_app,login,failure,true,0
2025-10-11 06:37:56,user025,employee,device003,trusted,UK,51.5,-0.12,dev_repo,access,success,true,0
2025-10-11 04:32:42,user020,employee,device076,trusted,UK,51.5,-0.12,email,access,success,false,0
2025-10-11 02:43:50,user013,employee,device035,trusted,IN,19.07,72.87,email,login,success,true,0
2025-10-10 23:47:42,user027,contractor,device013,untrusted,UK,51.5,-0.12,finance_app,access,success,true,0
2025-10-11 03:57:13,user023,employee,device035,trusted,US,37.77,-122.41,email,login,success,true,0
2025-10-11 12:08:36,user033,employee,device035,trusted,IN,19.07,72.87,email,access,success,true,0
2025-10-10 22:41:23,user022,employee,device082,trusted,IN,19.07,72.87,finance_app,logout,success,true,0
2025-10-10 20:26:16,user005,employee,device095,trusted,DE,52.52,13.4,finance_app,logout,success,true,0
2025-10-10 16:53:31,user001,employee,device086,trusted,SG,1.35,103.82,finance_app,logout,success,true,0
